CountryCode,Country,Year,Bacteria,Resistance_target,Resistance_pct,Community_J01_DDD_per_1000,Hospital_J01_DDD_per_1000,Total_J01_DDD_per_1000
EE,Estonia,2019,Klebsiella pneumoniae,Third-generation cephalosporins,10.61452513,10.2308,1.5206000000000002,11.7514
EE,Estonia,2019,Staphylococcus aureus,Meticillin (MRSA),3.00546448,10.2308,1.5206000000000002,11.7514
EE,Estonia,2020,Escherichia coli,Third-generation cephalosporins,8.27374872,8.8022,1.6320999999999999,10.434299999999999
EE,Estonia,2020,Klebsiella pneumoniae,Third-generation cephalosporins,11.55778894,8.8022,1.6320999999999999,10.434299999999999
EE,Estonia,2020,Staphylococcus aureus,Meticillin (MRSA),2.9972752,8.8022,1.6320999999999999,10.434299999999999
EE,Estonia,2021,Escherichia coli,Third-generation cephalosporins,8.07319698,8.6547,1.3913000000000002,10.046
EE,Estonia,2021,Klebsiella pneumoniae,Third-generation cephalosporins,12.76595744,8.6547,1.3913000000000002,10.046
EE,Estonia,2021,Staphylococcus aureus,Meticillin (MRSA),1.50753768,8.6547,1.3913000000000002,10.046
EE,Estonia,2022,Escherichia coli,Third-generation cephalosporins,11.76470588,10.772499999999999,1.5927,12.3652
EE,Estonia,2022,Klebsiella pneumoniae,Third-generation cephalosporins,14.89361702,10.772499999999999,1.5927,12.3652
EE,Estonia,2022,Staphylococcus aureus,Meticillin (MRSA),2.21130221,10.772499999999999,1.5927,12.3652
FR,France,2013,Escherichia coli,Third-generation cephalosporins,9.52334055,24.084999999999997,1.7081,25.793099999999995
FR,France,2013,Klebsiella pneumoniae,Third-generation cephalosporins,28.01857585,24.084999999999997,1.7081,25.793099999999995
FR,France,2013,Staphylococcus aureus,Meticillin (MRSA),17.0686798,24.084999999999997,1.7081,25.793099999999995
FR,France,2014,Escherichia coli,Third-generation cephalosporins,9.94298966,23.0812,1.7334,24.8146
FR,France,2014,Klebsiella pneumoniae,Third-generation cephalosporins,29.56204379,23.0812,1.7334,24.8146
FR,France,2014,Staphylococcus aureus,Meticillin (MRSA),17.3778264,23.0812,1.7334,24.8146
FR,France,2015,Escherichia coli,Third-generation cephalosporins,10.97638222,23.7571,1.7130999999999998,25.470200000000002
FR,France,2015,Klebsiella pneumoniae,Third-generation cephalosporins,30.53892215,23.7571,1.7130999999999998,25.470200000000002
FR,France,2015,Staphylococcus aureus,Meticillin (MRSA),15.71815718,23.7571,1.7130999999999998,25.470200000000002
FR,France,2016,Escherichia coli,Third-generation cephalosporins,11.22602315,23.8397,1.7083000000000002,25.548000000000002
FR,France,2016,Klebsiella pneumoniae,Third-generation cephalosporins,28.87947631,23.8397,1.7083000000000002,25.548000000000002
FR,France,2016,Staphylococcus aureus,Meticillin (MRSA),13.76837576,23.8397,1.7083000000000002,25.548000000000002
FR,France,2017,Escherichia coli,Third-generation cephalosporins,10.22318753,22.938200000000002,1.6790999999999998,24.6173
FR,France,2017,Klebsiella pneumoniae,Third-generation cephalosporins,28.83817427,22.938200000000002,1.6790999999999998,24.6173
FR,France,2017,Staphylococcus aureus,Meticillin (MRSA),12.9171817,22.938200000000002,1.6790999999999998,24.6173
FR,France,2018,Escherichia coli,Third-generation cephalosporins,9.59251625,22.9236,1.7198,24.6434
FR,France,2018,Klebsiella pneumoniae,Third-generation cephalosporins,30.76162215,22.9236,1.7198,24.6434
FR,France,2018,Staphylococcus aureus,Meticillin (MRSA),12.11067651,22.9236,1.7198,24.6434
FR,France,2019,Escherichia coli,Third-generation cephalosporins,8.84860588,22.7271,1.6990999999999998,24.4262
FR,France,2019,Klebsiella pneumoniae,Third-generation cephalosporins,30.17886178,22.7271,1.6990999999999998,24.4262
FR,France,2019,Staphylococcus aureus,Meticillin (MRSA),11.62826658,22.7271,1.6990999999999998,24.4262
FR,France,2020,Escherichia coli,Third-generation cephalosporins,9.4659808,18.1418,1.5956,19.7374
FR,France,2020,Klebsiella pneumoniae,Third-generation cephalosporins,27.84935579,18.1418,1.5956,19.7374
FR,France,2020,Staphylococcus aureus,Meticillin (MRSA),12.0691257,18.1418,1.5956,19.7374
FR,France,2021,Escherichia coli,Third-generation cephalosporins,8.34267413,19.307,1.6454999999999997,20.952499999999997
FR,France,2021,Klebsiella pneumoniae,Third-generation cephalosporins,25.41725316,19.307,1.6454999999999997,20.952499999999997
FR,France,2021,Staphylococcus aureus,Meticillin (MRSA),11.00034674,19.307,1.6454999999999997,20.952499999999997
FR,France,2022,Escherichia coli,Third-generation cephalosporins,8.44148515,22.1114,1.7076999999999998,23.8191
FR,France,2022,Klebsiella pneumoniae,Third-generation cephalosporins,25.03433392,22.1114,1.7076999999999998,23.8191
FR,France,2022,Staphylococcus aureus,Meticillin (MRSA),10.43470079,22.1114,1.7076999999999998,23.8191
EL,Greece,2013,Escherichia coli,Third-generation cephalosporins,17.21115537,27.9414,1.7159,29.657300000000003
EL,Greece,2013,Klebsiella pneumoniae,Third-generation cephalosporins,70.11589403,27.9414,1.7159,29.657300000000003
EL,Greece,2013,Staphylococcus aureus,Meticillin (MRSA),40.29062087,27.9414,1.7159,29.657300000000003
EL,Greece,2014,Escherichia coli,Third-generation cephalosporins,21.03386809,29.1171,1.785,30.9021
EL,Greece,2014,Klebsiella pneumoniae,Third-generation cephalosporins,72.52747252,29.1171,1.785,30.9021
EL,Greece,2014,Staphylococcus aureus,Meticillin (MRSA),37.05035971,29.1171,1.785,30.9021
EL,Greece,2015,Escherichia coli,Third-generation cephalosporins,19.83539094,31.203599999999998,1.8475,33.0511
EL,Greece,2015,Klebsiella pneumoniae,Third-generation cephalosporins,69.53586497,31.203599999999998,1.8475,33.0511
EL,Greece,2015,Staphylococcus aureus,Meticillin (MRSA),39.37908496,31.203599999999998,1.8475,33.0511
EL,Greece,2016,Escherichia coli,Third-generation cephalosporins,17.6380368,30.8994,2.0664,32.9658
EL,Greece,2016,Klebsiella pneumoniae,Third-generation cephalosporins,72.48094834,30.8994,2.0664,32.9658
EL,Greece,2016,Staphylococcus aureus,Meticillin (MRSA),38.81064162,30.8994,2.0664,32.9658
EL,Greece,2017,Escherichia coli,Third-generation cephalosporins,18.29931972,32.0798,2.0024,34.0822
EL,Greece,2017,Klebsiella pneumoniae,Third-generation cephalosporins,69.16299559,32.0798,2.0024,34.0822
EL,Greece,2017,Staphylococcus aureus,Meticillin (MRSA),38.44282238,32.0798,2.0024,34.0822
EL,Greece,2018,Escherichia coli,Third-generation cephalosporins,19.32926829,32.4095,1.5806,33.9901
EL,Greece,2018,Klebsiella pneumoniae,Third-generation cephalosporins,70.73333333,32.4095,1.5806,33.9901
EL,Greece,2018,Staphylococcus aureus,Meticillin (MRSA),36.37387387,32.4095,1.5806,33.9901
EL,Greece,2019,Escherichia coli,Third-generation cephalosporins,18.94736842,32.343199999999996,1.6019,33.9451
EL,Greece,2019,Klebsiella pneumoniae,Third-generation cephalosporins,66.4516129,32.343199999999996,1.6019,33.9451
EL,Greece,2019,Staphylococcus aureus,Meticillin (MRSA),37.64705882,32.343199999999996,1.6019,33.9451
EL,Greece,2020,Escherichia coli,Third-generation cephalosporins,21.86948853,26.321,1.6658000000000002,27.986800000000002
EL,Greece,2020,Klebsiella pneumoniae,Third-generation cephalosporins,74.51790633,26.321,1.6658000000000002,27.986800000000002
EL,Greece,2020,Staphylococcus aureus,Meticillin (MRSA),40.17857142,26.321,1.6658000000000002,27.986800000000002
EL,Greece,2021,Escherichia coli,Third-generation cephalosporins,21.73314993,21.7223,1.6945999999999999,23.416900000000002
EL,Greece,2021,Klebsiella pneumoniae,Third-generation cephalosporins,80.36723163,21.7223,1.6945999999999999,23.416900000000002
EL,Greece,2021,Staphylococcus aureus,Meticillin (MRSA),41.85248713,21.7223,1.6945999999999999,23.416900000000002
EL,Greece,2022,Escherichia coli,Third-generation cephalosporins,23.31983805,31.1063,1.6957,32.802
EL,Greece,2022,Klebsiella pneumoniae,Third-generation cephalosporins,78.24639289,31.1063,1.6957,32.802
EL,Greece,2022,Staphylococcus aureus,Meticillin (MRSA),38.99782135,31.1063,1.6957,32.802
HU,Hungary,2013,Escherichia coli,Third-generation cephalosporins,18.85873347,13.357000000000001,1.0537,14.410700000000002
HU,Hungary,2013,Klebsiella pneumoniae,Third-generation cephalosporins,37.34290843,13.357000000000001,1.0537,14.410700000000002
HU,Hungary,2013,Staphylococcus aureus,Meticillin (MRSA),24.0,13.357000000000001,1.0537,14.410700000000002
HU,Hungary,2014,Escherichia coli,Third-generation cephalosporins,16.42989499,14.0101,1.0991,15.1092
HU,Hungary,2014,Klebsiella pneumoniae,Third-generation cephalosporins,35.55900621,14.0101,1.0991,15.1092
HU,Hungary,2014,Staphylococcus aureus,Meticillin (MRSA),23.06489444,14.0101,1.0991,15.1092
